Episode,Word,Score
Ep1,behold,0.004359437325464484
Ep1,bunkasai,0.004359437325464484
Ep1,update,0.004359437325464484
Ep1,httpsimgurcomatzbq,0.004359437325464484
Ep1,httpsimgurcomarsqzlso,0.004359437325464484
Ep1,candy,0.004359437325464484
Ep1,repetitive,0.004359437325464484
Ep1,malbadge,0.004359437325464484
Ep1,httpsimgurcomaxhyxqt,0.004359437325464484
Ep1,httpsimgurcomauiueljd,0.004359437325464484
Ep1,httpsimgurcomansutgkk,0.004359437325464484
Ep1,longer,0.004359437325464484
Ep1,httpsimgurcomannzke,0.004359437325464484
Ep1,httpsimgurcomamanrqo,0.004359437325464484
Ep1,ticket,0.004359437325464484
Ep1,kekeke,0.004359437325464484
Ep1,httpsimgurcomaopmbp,0.004359437325464484
Ep1,abusive,0.004660207424615675
Ep1,posted,0.004660207424615675
Ep1,fatamorganacalledworldthing,0.004660207424615675
Ep1,fan,0.004660207424615675
Ep1,seek,0.004660207424615675
Ep1,sensitive,0.004660207424615675
Ep1,likely,0.004660207424615675
Ep1,enough,0.004660207424615675
Ep1,damn,0.004660207424615675
Ep1,done,0.004660207424615675
Ep1,testicle,0.004660207424615675
Ep1,devolve,0.004660207424615675
Ep1,derogatory,0.004660207424615675
Ep1,newbie,0.004660207424615675
Ep1,guess,0.004660207424615675
Ep1,controversial,0.004660207424615675
Ep1,brazilian,0.004660207424615675
Ep1,offline,0.004660207424615675
Ep1,awesomeness,0.004660207424615675
Ep1,harassing,0.004660207424615675
Ep1,psychic,0.004660207424615675
Ep1,hide,0.004660207424615675
Ep1,andor,0.004660207424615675
Ep1,oh,0.004660207424615675
Ep1,minute,0.004660207424615675
Ep1,somehow,0.004983276484537093
Ep1,field,0.004983276484537093
Ep1,ever,0.004983276484537093
Ep1,eye,0.004983276484537093
Ep1,exciting,0.004983276484537093
Ep1,absolutely,0.004983276484537093
Ep1,win,0.004983276484537093
Ep1,wouldnt,0.004983276484537093
Ep1,xd,0.004983276484537093
Ep1,probably,0.004983276484537093
Ep1,funny,0.004983276484537093
Ep1,become,0.004983276484537093
Ep1,past,0.004983276484537093
Ep1,change,0.004983276484537093
Ep1,might,0.004983276484537093
Ep1,fucking,0.00533221765200035
Ep1,showing,0.00533221765200035
Ep1,week,0.00533221765200035
Ep1,giving,0.00533221765200035
Ep1,keep,0.00533221765200035
Ep1,scored,0.00533221765200035
